,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
1,12/07/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,4,2,Guadalajara,2.3,1.2,47,,Joe Corona,3-2-4-1,4-2-3-1,,Match Report,,12,4,17,0,1,1,2024,Tijuana,
2,16/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,3,Cruz Azul,0.5,2.2,61,,Christian Rivera,4-2-3-1,03/04/2003,,Match Report,,8,1,22.6,0,0,0,2024,Tijuana,
3,19/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,1,1,Atlético,1.3,1.1,60,,Fernando Madrigal,4-2-3-1,03/04/2003,,Match Report,,9,3,22.2,0,1,1,2024,Tijuana,
4,18/08/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,3,1,Santos,2.4,1.4,70,,Christian Rivera,4-1-4-1,4-2-3-1,,Match Report,,21,7,18.4,0,0,0,2024,Tijuana,
5,23/08/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,2,2,Monterrey,1.4,2.7,51,,Christian Rivera,4-1-4-1,4-3-1-2,,Match Report,,9,4,20,1,1,1,2024,Tijuana,
6,30/08/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,1,León,1.6,0.4,72,,Christian Rivera,4-1-4-1,4-1-2-1-2,Víctor Cáceres,Match Report,,13,6,17.3,1,0,0,2024,Tijuana,
7,14/09/2024,16:45,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,4,Toluca,0.9,3.1,48,24507,Joe Corona,4-1-4-1,4-2-3-1,Ismael Lopez,Match Report,,9,2,21.6,0,0,0,2024,Tijuana,
8,22/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,0,1,UNAM,0.2,2.6,59,,Christian Rivera,4-2-3-1,05/03/2002,Luis Enrique Santander,Match Report,,6,2,24.2,0,0,0,2024,Tijuana,
9,27/09/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,1,0,Mazatlán,1,0.6,64,,Christian Rivera,4-2-3-1,05/04/2001,Víctor Cáceres,Match Report,,13,7,16.6,0,0,0,2024,Tijuana,
10,04/10/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,1,Pachuca,0.8,1.1,58,,Christian Rivera,4-2-3-1,4-2-3-1,Iván López,Match Report,,14,6,24.7,0,0,0,2024,Tijuana,
11,18/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,2,1,Necaxa,1.6,2.6,54,,Christian Rivera,03/04/2003,3-4-1-2,Adonai Escobedo,Match Report,,10,2,21.3,0,1,1,2024,Tijuana,
12,23/10/2024,20:05,Liga MX,Apertura 2024 Regular Season,Wed,Home,D,2,2,América,1.3,0.9,62,,Christian Rivera,4-2-3-1,4-2-3-1,Fernando Hernández,Match Report,,10,5,17.2,0,1,1,2024,Tijuana,
0,06/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,0,0,Toluca,1.3,0.6,51,37251,Javier Hernández,4-2-3-1,4-2-3-1,,Match Report,,15,4,20.5,0,0,0,2024,Guadalajara,
1,12/07/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,2,4,Tijuana,1.2,2.3,53,,Javier Hernández,4-2-3-1,3-2-4-1,,Match Report,,11,2,15.3,0,0,0,2024,Guadalajara,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,W,2,0,Querétaro,2.2,0.6,57,,Javier Hernández,4-2-3-1,05/04/2001,,Match Report,,14,6,17.6,0,0,0,2024,Guadalajara,
